GUID;ExtrusionZ (mm)
3VNxP0MW567eID7e056Nzu;-3400.0
1$x8NJqe52GBprNNhqkzeb;-3400.0
3grVu9dV1FkB$aGfJ9STGl;-2350.0
1Qweb7XvbDl9OxUar1yjPB;-2350.0
1qJe3XIzn4KQl70loKT4mq;-2350.0
3leBIW1fTEwuinFfUvEhzB;-2350.0
0Mhah93FT7cfXtaeodfB8P;-5600.0
3dXqWVRpH6cuu0tQh0eyc1;4000.0
3SINR2MZL3xeUvv7oy9sXY;4000.0
2iKMl8KAj9DBRjo6n1m2MU;-2278.0
1SIah$TXf0Leg1TBdGpu4s;-2278.0
0MjyIlafX8pfvOfITagVTF;-2278.0
1HQieqCN5C7xQPE0lq7ytD;-2278.0
1c$oEV5QbAnQ$CBCxuz_KE;-2278.0
0SjhpDNWb5qgR1rNW6xkdq;-2278.0
2acKo6BjP6sfRLDOa1CN3Q;-5600.0
1RxQ7dxx96xfmhMFWGFeli;-4552.0
02Odlr7aH0ZxsxcCOY3wAQ;-4552.0
3sUsBG7f9DRuqdCdxLWDOx;-3245.0
0WByu1FqXACRqGtZPtgXHN;-2280.0
2x12mHbdv0Uw2qmUVbszz2;-2280.0
3_FIpNkL15D9WXgxkSQ9s_;-2280.0
3oQArqnfLEo8oooGzQEfoT;-2280.0
0peYp7IdXARR41H39ZOjgF;-3595.0
3RFb$upAH3YgH2GEN7$nxH;-3245.0
13QYU6hcr4BQyOe$79oLTn;-3500.0
1GKfz4KlL8KvVNTcRyaRcZ;-3500.0
0EqHC42CfDrfr3_8pS9ntS;2196.0
2zxrvBiEn4PRNYTljse8J2;2424.0
1yPnTGgRD6V9icPoMd5uwD;2424.0
1q1OXeKCb1T8OXvu7BYHe5;2424.0
0fPW69UQH1uO$bntrKEScJ;2424.0
2QNzDe4JTANf7pQUJ3t1DB;2424.0
3MJ0tPoZH2UwqrBdsFOpnP;2424.0
39eC1giNvCKed1MehKjnAd;-5166.0
1QEzYPizH5KRsj2CFsqJGA;2174.0
1L1ULjv2TB1QIfw_SfvvUx;2174.0
0kHTrQGSrAuQEYbacHF1wS;2174.0
2AdBefWbf47hB8fLjPdJbZ;2174.0
3Piqw7ldvCVxPxKAl$0J1f;2174.0
1XYHVgwbnA3uqdIsFOUm8I;2174.0
19Z3H3MG57oOzrb1TkqocJ;2646.0
1C_uXRy6n8qP1tiXNwcrQn;-19002.0
2Mm51TL5TBDR5FqoU8XHDw;-19002.0
00JoAnsSrBG9TDGU19yvVj;-19002.0
1jmmyC7MLFVAGb6ZTq5dCD;-7000.0
3uKOWSIg58guf5H92Np8r4;-7000.0
0ooStuOanEDeNnxfzati6S;-4600.0
2TE8Jln05FtPLIDDHD7hJT;2180.0
3ynYdVmk937Bns$8JrjRjH;2180.0
1$U6H3nlzA5vHKqGd4Uh_l;-4202.0
3_YKwlPHD9ChwYiJ0yjmoK;-5938.0
2sBkYlQD5F$vxDup35yppM;2872.0
0Lr4LY_jDEhwUClJi449lZ;2163.0
2dXPFhuozDPOg2PhkEZe$e;-19002.0
2PDzkH0xL7UehMDON7zZBE;-7000.0
13$u2rw9j4LPsYE_75L58I;-3600.0
3tnMvNDC1D5fwu9PIGHxis;-7000.0
0CqNRxJXT6bgOjnrZlAAKJ;-7000.0
0$bvV7Wh14HgYpkXouS3wi;2270.0
2csPr60V510AMc0T_CnJzB;-2418.0
2snuUr0_TFlhFt$Gr91uoW;-7870.0
2iWMA4wbf7OvO1A3dCSkgk;2820.0
37nOLkqibApwWt1NUieu5o;-2270.0
2Vficm6pL5GhbG8Aqedli8;2418.0
06E01ZXA121xd9KH8liKDL;2418.0
0_xVB2FDHCEg6ZVV4uMBUi;-3227.0
3aUa$U4_P7HumkJROU9DSO;-3280.0
13ptt6CyX7zRRUKnw5prv8;-5284.0
3Zx_H_qz974xRugg0z3xpL;-7860.0
31q047yNT1wult$_MfZF6u;-7860.0
0tj41Lkyz4eQW333SEl0Zf;-4000.0
1IzjkX3LTEqgZJrWz$HvUv;2900.0
2AHW2NDULA7wI$f6nDYK9s;2900.0
1dqPR4WnP8XeAVTzjfSfGu;2900.0
2IlrRXtvb328uRUx$opZtC;2900.0
1Gxn$j4RrFCPDRtLWkbblO;2900.0
0rUvNYBULC5BzqGobyEuBi;4835.0
0Sbx$Tpfv81hw$s$41Po39;2470.0
2Og2zhFfD7Kv_HLPNx9B1A;2470.0
1KSNOLC8HAgf1aM_U_Xwfg;2470.0
1ZWDV0O6H5Kf38htfizj_l;2620.0
2lxI1x1wv8TwkLbEdON2OG;2520.0
1Iz8wc4GL7qus7IhceWde2;2257.0
0mC3sY8x50OxzV3BDBgedS;2406.0
2AnNrK9nXCbwLrrza19Rv8;-2268.0
3ybOh1JAzCsx9wQaH6lN3N;-2620.0
1CJTOHc2j2ZOTWr$jrgIaO;2821.0
