GUID;HEIGHT (mm)
3$0foTW0jBug2ny3LyceuL;995.0
3QSSBTEb91jfowMPWXPnC_;995.0
0EiWlNoXb3bPSomptS6LxD;1165.0
2iHPTvLXn7EgkM3YW31mmb;960.0
1Icvr$4U18ShK7nMaYfXdw;995.0
3$Tr0OcOv1Bw4v9DpM6Lr_;842.0
2PKTOmgMT2OBJ5xUaIC6Qb;950.0
044acidNvFX93LY2Q2TcGv;995.0
0w6eg8Ox98$PdalrTpSlzi;995.0
2xuL81diXBIgu$khmRIvAm;995.0
2V3AWtwIr4L89lmcHML3cs;995.0
0eABh2i6539RvG1amvTc8E;2450.0
0rIIs7xV13wBVCXmCCfpfZ;995.0
3XKlGBx7bAkgeOcn0ohPrf;960.0
3q4Mg8XjfAB8BjeiYExQj9;1165.0
3h1yyj5VD2SeecyE8yuePe;1762.0
0$Jyo5aP11CuMm0lhtaTnt;995.0
26Q9MfAWL7zvjT0iJTcDQM;995.0
0jv1doW952tRKdkYJkt0jn;995.0
25mOrpGivBSBJyEqcqO4gc;1724.0
3KdCfPwZP0ZO2iEI1TR1vW;995.0
12qP$yzOb13PU0EZ3emHiG;960.0
3T$uX4SkX9bxuRyQg$jWqr;995.0
0K9_IV8E92GRQKSRgi793E;1130.0
2ijOMu$79AUxc8U8u3m3L$;1130.0
1Bddn7QE57agPhcFEYOl$6;994.0
3NT9ArQMH6DvrRaLn4NAKn;966.0
1654Er4bL9Fuqsv$6TIxOU;878.0
2hR_2SNYz6tvaTXEI18uiX;1650.0
3O47NSpD98YfclOJaV3IpS;2942.0
23JtEfsyn8TuCPXY8lazF3;995.0
3WaSexpzH84g0SyHStX8iL;995.0
1fXEn1Zz5DrBkKhsujkklH;3397.0
15yhAG7ar6S9Rh$UZXk5_T;1650.0
1PPLE0m4nAl8DfNvsak$hp;842.0
1CxwIXVznD88_NapScsFPQ;1062.0
2BpNL5ua5FxfCRXNbHklWr;1270.0
3fxzWvvx5C79X2sWqY5xNl;856.0
3jwSwvEEP67B7Lr1lfESgn;815.0
16stjCVuf8WPNufnhrwtCO;1585.0
0HS9uv_kD8mOQ_5pa$0I_2;897.0
3JDT2Iovj3K89vQUjwFTsB;842.0
3bnDdnK9z0OORJlA7dYTk7;995.0
3TK$aBsUP2yfG_$Al7mM9S;960.0
34SvTzMAn9VfKfczdCJ4sS;995.0
3smkhApAv4rwkU_Kh4e74c;977.0
2pBTiEvLP9JftL6qjTpwMv;842.0
2ee_7mRVXArwORMhmIycHV;945.0
3ywb6mNljDxuYJoLcqUJQV;994.0
1U44ViFLL23uVV_O3uDWVW;994.0
2RUy5glMHAVBLCIYr92wEl;994.0
1rKBRC_Mb2PhGwK4imXgc7;994.0
3RZYHK6Ff3i9it8Xdis0L4;823.0
0y7$XaDvn3xgXvZqqocDXp;946.0
38nNaogIjDTeXKPzq6DjtP;960.0
2UblYSDUf9qRxr$SSRu7tL;1000.0
17O_Ai0LrF6uJLxJS7gN_k;993.0
0gZDsnraD2uQY6wX8rCsQ6;920.0
2WEiEglU1FYR2HFts1acP$;989.0
2sX8bMOmvB3Bku$czHscHX;989.0
2YgK0uUCvBCeocre$rJxtx;1120.0
2GJyYAwyvCYPSsFmtUXSCC;995.0
2m5dEzyxrCE9y1WM1bQpE2;995.0
1PWnFJgkf55Q69_tjOtN0w;995.0
1v5KdDE5b4BhMJrfm2RK_A;995.0
0xaLDAi41FQQCuKreJY7iF;995.0
0lxCAWZ5r2LBouxokctTnG;995.0
01oMEycxz6APhwu7Ktwtzi;995.0
2rQBJ337165w4zHMqLCpBJ;1380.0
103qv1Sjr0ZRzJX4naJ9Wy;983.0
0Az2quhcf88f35eVYanZte;995.0
3G3D2s7KD0tQJC1uJhhj0c;1095.0
3whon8vjf3tBXfKtRqFMst;950.0
1pkEbE411FzxygMPsNdjjA;960.0
1aLZ7i2dv5Vxw5DA6nxiJ1;995.0
2b5c8zXs9Dfg_05Yrmnf0E;909.0
2rtNXxum9BNRYilHPi_TCd;995.0
255fBABwL7WvD1SEXVMuvg;1165.0
0Hyg_wluD2Wh92bSmVqHtg;960.0
1ILHPWMj91Q8$lW6lxItqb;995.0
3GOCHduUvE0QDMge7$yPhw;1165.0
3X_o$89Uf0QgfGOo3VzR0e;960.0
2wL9tb6Hn6KO1q39w0o26i;4160.0
0UYjAhAFH91fWG0Mw0wE0c;982.0
